model,agent,normalized_mean,normalized_median,original_benchmark_table_coverage,rank
gpt-5.4,codex,0.7531935443862512,0.6613279079471658,0.7321428571428571,1
gemini-3.1-pro-preview,gemini-cli,0.718507930633493,0.7000833525013637,0.6964285714285714,2
gemini-3.1-pro-preview,terminus-2,0.49783347481720464,0.5169825769913579,0.6964285714285714,3
claude-opus-4-6,terminus-2,0.3538616797214335,0.3905546867951148,0.5714285714285714,4
claude-opus-4-6,claude-code,0.3107816366016169,0.40559259838846023,0.6428571428571429,5
claude-sonnet-4-6,claude-code,0.20901768972313378,0.19567779463746085,0.625,6
claude-sonnet-4-6,terminus-2,0.17912911927393257,0.13614869757694364,0.6071428571428571,7
gemini-3-flash-preview,terminus-2,0.1065816969798691,0.11678706313495171,0.7142857142857143,8
kimi-k2.5,terminus-2,-0.010314976757709293,0.0,0.44642857142857145,9
deepseek-chat,claude-code,-0.03977575018702153,0.0,0.7321428571428571,10
gemini-3-flash-preview,gemini-cli,-0.057923838247248095,0.19562358529833485,0.6607142857142857,11
glm-5,terminus-2,-0.06158817782742249,-0.00971478957811355,0.26785714285714285,12
mimo-v2-pro,terminus-2,-0.08255718332869996,-0.1029459159649278,0.5178571428571429,13
gpt-5-mini,codex,-0.16305657711437463,-0.04168224158642095,0.75,14
glm-5,claude-code,-0.17063800964712386,-0.02451678549695735,0.5535714285714286,15
gpt-5.4,terminus-2,-0.17207290601194516,-0.1443246914422486,0.6785714285714286,16
qwen3-max,qwen-coder,-0.31428891507924467,-0.21011191356964376,0.5357142857142857,17
mimo-v2-pro,claude-code,-0.3451567757291193,-0.0851099052114096,0.6428571428571429,18
deepseek-reasoner,terminus-2,-0.3513365897458427,-0.21633176841391993,0.6607142857142857,19
kimi-k2.5,claude-code,-0.36053578400776365,-0.09390021398419476,0.5357142857142857,20
MiniMax-M2.5,terminus-2,-0.4548243105900164,-0.4895140812362032,0.6428571428571429,21
MiniMax-M2.5,claude-code,-0.5273406890120345,-0.3991127338915915,0.75,22
gpt-5-mini,terminus-2,-0.6201263106418163,-0.4825774179964646,0.6785714285714286,23
claude-haiku-4-5-20251001,terminus-2,-0.7610643720465561,-0.597499532607388,0.5892857142857143,24
gpt-5-nano,terminus-2,-1.4666758273265752,-1.0507697883666893,0.6785714285714286,25
qwen3-max,terminus-2,-1.9473332544592272,-0.37167355072373165,0.44642857142857145,26
gpt-5-nano,codex,-2.586590100618167,-1.251651281836189,0.75,27
claude-haiku-4-5-20251001,claude-code,-12450973.371072795,-0.16065784929879584,0.6785714285714286,28
