matrix,component,singular_value,variance_fraction,cumulative_variance_fraction
benchmark,1,697254496.0715591,0.999999999999993,0.999999999999993
benchmark,2,47.23001868759056,4.588318828066032e-15,0.9999999999999976
benchmark,3,18.92635230394154,7.368026737903478e-16,0.9999999999999983
benchmark,4,17.61792311242802,6.384498273598301e-16,0.999999999999999
benchmark,5,12.153650243062174,3.0383011737895933e-16,0.9999999999999993
benchmark,6,8.63238725713388,1.5327777347363262e-16,0.9999999999999994
benchmark,7,7.480455976097841,1.15099515623219e-16,0.9999999999999996
benchmark,8,6.846343900547972,9.641281743150566e-17,0.9999999999999997
benchmark,9,5.70246063169579,6.688703497900037e-17,0.9999999999999998
benchmark,10,4.754067466853173,4.648876773255459e-17,0.9999999999999998
benchmark,11,4.580242414298649,4.315133948742574e-17,0.9999999999999998
benchmark,12,4.450385693171354,4.073921485399212e-17,0.9999999999999998
benchmark,13,4.012041270205482,3.310915803412522e-17,0.9999999999999998
benchmark,14,3.674585676917504,2.777372358891795e-17,0.9999999999999998
benchmark,15,3.4149095432167043,2.3986990421262243e-17,0.9999999999999998
benchmark,16,3.2198670901101916,2.1325206420842016e-17,0.9999999999999998
benchmark,17,2.8510727730352654,1.671991089674615e-17,0.9999999999999998
benchmark,18,2.6578759485742105,1.4530707734272976e-17,0.9999999999999998
benchmark,19,2.5360786280116763,1.3229480229196653e-17,0.9999999999999998
benchmark,20,2.238270995320113,1.0304874027490783e-17,0.9999999999999998
benchmark,21,2.0248017154858364,8.4330049146311e-18,0.9999999999999998
benchmark,22,1.8877189062555053,7.32979796591312e-18,0.9999999999999998
benchmark,23,1.7202545770567306,6.086992929797347e-18,0.9999999999999998
benchmark,24,1.4608017760309302,4.3893471441400826e-18,0.9999999999999998
benchmark,25,1.1719967098054145,2.8253362273351887e-18,0.9999999999999998
benchmark,26,1.1375207799638483,2.6615585917801626e-18,0.9999999999999998
benchmark,27,0.8208225527317244,1.3858490046383102e-18,0.9999999999999998
benchmark,28,0.54225914097026,6.048269254821705e-19,0.9999999999999998
task,1,271206548082.13434,0.9999999999999967,0.9999999999999967
task,2,14530.969640844094,2.870706870760451e-15,0.9999999999999996
task,3,4693.968284759053,2.995573360416511e-16,0.9999999999999999
task,4,2603.7313148859953,9.217051001383516e-17,1.0
task,5,2248.1351558914066,6.871388315806698e-17,1.0
task,6,1790.577314261372,4.358989407851846e-17,1.0
task,7,920.1044045477335,1.1509961667646212e-17,1.0
task,8,643.7981816054469,5.6350678460706805e-18,1.0
task,9,466.48010271829116,2.9584613913824734e-18,1.0
task,10,444.8233540766469,2.6901396081639932e-18,1.0
task,11,251.8194892601878,8.621410725262711e-19,1.0
task,12,202.87030568811855,5.59547068937641e-19,1.0
task,13,194.02255777077028,5.118045104932304e-19,1.0
task,14,165.27231576467742,3.71364069883459e-19,1.0
task,15,131.36112787630003,2.3460291026646605e-19,1.0
task,16,126.40770096838283,2.172434661035883e-19,1.0
task,17,113.0672499366912,1.7380942241555838e-19,1.0
task,18,106.59488617646568,1.544800489125204e-19,1.0
task,19,98.18476488607737,1.310653425504192e-19,1.0
task,20,94.68795749969094,1.2189591593056987e-19,1.0
task,21,90.29741466464485,1.108537246977882e-19,1.0
task,22,85.38986002371905,9.913163318178467e-20,1.0
task,23,82.88672231565981,9.340488504045171e-20,1.0
task,24,80.4330963625115,8.795676204249947e-20,1.0
task,25,74.60927043629242,7.568071814165743e-20,1.0
task,26,63.919181554862355,5.554718679629959e-20,1.0
task,27,55.96887186412309,4.258854119157421e-20,1.0
task,28,35.7736435699296,1.739906894738411e-20,1.0
