column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aider-polyglot/polyglot_cpp_all-your-base,27,1,0.03571428571428571,0.3185185185185185,0.36213056478756495,0.2,0.0,0.6,0.0,1.0,identity,0.2,0.6,0,0
aider-polyglot/polyglot_cpp_allergies,27,1,0.03571428571428571,0.40740740740740733,0.38289919950578033,0.4,0.0,0.7,0.0,1.0,identity,0.4,0.7,0,0
aider-polyglot/polyglot_cpp_bank-account,27,1,0.03571428571428571,0.5333333333333333,0.39999999999999997,0.6,0.1,0.9,0.0,1.0,identity,0.6,0.8,0,0
aider-polyglot/polyglot_cpp_binary-search-tree,27,1,0.03571428571428571,0.2222222222222222,0.3142696805273545,0.0,0.0,0.4,0.0,1.0,identity,0.0,0.4,0,0
aider-polyglot/polyglot_cpp_circular-buffer,27,1,0.03571428571428571,0.28148148148148144,0.34964218433202804,0.2,0.0,0.6,0.0,1.0,identity,0.2,0.6,0,0
aider-polyglot/polyglot_cpp_clock,27,1,0.03571428571428571,0.3111111111111111,0.3235604395235786,0.2,0.0,0.6,0.0,1.0,identity,0.2,0.6,0,0
aider-polyglot/polyglot_cpp_complex-numbers,27,1,0.03571428571428571,0.6296296296296298,0.30649127208262517,0.6,0.4,1.0,0.0,1.0,identity,0.6,0.6,0,0
aider-polyglot/polyglot_cpp_crypto-square,27,1,0.03571428571428571,0.4444444444444444,0.40490815907308,0.4,0.0,0.8,0.0,1.0,identity,0.4,0.8,0,0
aider-polyglot/polyglot_cpp_diamond,27,1,0.03571428571428571,0.5777777777777777,0.37449554547450487,0.6,0.30000000000000004,0.9,0.0,1.0,identity,0.6,0.6,0,0
aider-polyglot/polyglot_cpp_dnd-character,26,2,0.07142857142857142,0.5384615384615385,0.3175348837007737,0.6,0.25,0.8,0.0,1.0,identity,0.6,0.55,0,0
aider-polyglot/polyglot_cpp_gigasecond,26,2,0.07142857142857142,0.49230769230769234,0.38920340432841594,0.5,0.0,0.8,0.0,1.0,identity,0.5,0.8,0,0
