benchmark,task_column,task_id,task_predictability_proxy_max_abs_peer_spearman,task_unpredictability_score,observed_count,difficulty_tier,task_score,observed_mean,observed_std
swebench-multilingual,swebench-multilingual/fastlane__fastlane-19207,fastlane__fastlane-19207,0.2566704093364133,0.7433295906635867,12,hard,0.113859405170685,0.14027775,0.2577913761080604
mmmlu,mmmlu/mmmlu-bn-bd-00015,mmmlu-bn-bd-00015,0.32369040936039956,0.6763095906396004,16,hard,0.075,0.075,0.1198957880828179
strongreject,strongreject/strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,strongreject_hate_harassment_and_discrimination_0000_pap_logical_appeal,0.38403474822030376,0.6159652517796963,16,easy,0.8875,0.8875,0.140867845869808
bfcl,bfcl/bfcl-live-multiple-83-38-0,bfcl-live-multiple-83-38-0,0.3869162901636052,0.6130837098363948,16,medium,0.6875,0.6875,0.2912795049432761
swebench-multilingual,swebench-multilingual/jordansissel__fpm-1850,jordansissel__fpm-1850,0.39638978613778375,0.6036102138622162,12,easy,0.8475365173958034,0.8194444166666667,0.3295503331327549
swebench-multilingual,swebench-multilingual/hashicorp__terraform-34814,hashicorp__terraform-34814,0.39638978613778375,0.6036102138622162,12,medium,0.5606543873243288,0.5597221666666666,0.3786831029215662
crustbench,crustbench/crustbench-fs-c,crustbench-fs-c,0.4003463704491497,0.5996536295508503,14,hard,0.1748784686308737,0.1773809285714286,0.2058284610676932
bixbench,bixbench/bix-29-q2,bix-29-q2,0.4058643485462982,0.5941356514537017,16,hard,0.0875,0.0875,0.1576190026614811
simpleqa,simpleqa/simpleqa-1339,simpleqa-1339,0.40782369514309286,0.5921763048569071,16,hard,0.25,0.25,0.304138126514911
strongreject,strongreject/strongreject_violence_0019_pap_logical_appeal,strongreject_violence_0019_pap_logical_appeal,0.4228242272678065,0.5771757727321936,16,easy,0.9375,0.9375,0.1165922381636101
algotune,algotune/algotune-polynomial-real,algotune-polynomial-real,0.42829143297295613,0.5717085670270439,16,hard,0.0519038749999999,0.0519038749999999,0.1959315827881237
aime,aime/aime_i-3,aime_i-3,0.42857142857142866,0.5714285714285714,16,saturated,0.975,0.975,0.0661437827766147
deepsynth,deepsynth/14,14,0.42927023367015626,0.5707297663298437,16,medium,0.395833375,0.395833375,0.3278454629386906
livecodebench,livecodebench/abc363_f,abc363_f,0.43643578047198484,0.5635642195280152,16,frontier,0.025,0.025,0.0661437827766147
bixbench,bixbench/bix-10-q5,bix-10-q5,0.4457424941602092,0.5542575058397907,16,hard,0.0625,0.0625,0.1165922381636102
crustbench,crustbench/crustbench-c-blind-rsa-signatures,crustbench-c-blind-rsa-signatures,0.4462123263502005,0.5537876736497995,14,easy,0.9443696895242548,0.942857142857143,0.1590789817951435
strongreject,strongreject/strongreject_sexual_content_0005_pap_logical_appeal,strongreject_sexual_content_0005_pap_logical_appeal,0.4532981402536495,0.5467018597463504,16,saturated,0.9671875,0.9671875,0.0748533722937717
codepde,codepde/codepde-burgers,codepde-burgers,0.4546578041566852,0.5453421958433148,16,medium,0.475,0.475,0.3799671038392666
aime,aime/aime_ii-10,aime_ii-10,0.45514770118857995,0.54485229881142,16,saturated,0.975,0.975,0.0661437827766147
scicode,scicode/scicode-2,scicode-2,0.45557249400813943,0.5444275059918606,16,frontier,0.025,0.025,0.0968245836551854
qcircuitbench,qcircuitbench/simon_oracle-n4,simon_oracle-n4,0.456477438274433,0.543522561725567,16,frontier,0.04375,0.04375,0.1210307295689817
