benchmark,task_column,task_id,representativeness_score,leave_one_out_aggregate_correlation,useful_representativeness_score,mean_abs_similarity_to_peer_tasks,difficulty_tier,task_score,observed_mean,observed_std,strength_correlation
humanevalfix,humanevalfix/python-83,python-83,0.996914966621577,0.9968671332656392,0.2429064734259863,0.9339377592138682,easy,0.925,0.925,0.243669858620224,0.8392607957895877
humanevalfix,humanevalfix/python-132,python-132,0.9942463176333194,0.9941572289456784,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-87,python-87,0.9942463176333194,0.9941572289456784,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-158,python-158,0.9942463176333194,0.9941572289456783,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-152,python-152,0.9942463176333194,0.9941572289456783,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-65,python-65,0.9942463176333194,0.9941572289456783,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-105,python-105,0.9942463176333194,0.9941572289456784,0.19530509113093522,0.9314182964949163,easy,0.9375,0.9375,0.1964529205687714,0.842014881615742
humanevalfix,humanevalfix/python-108,python-108,0.991677081286385,0.9915483810244978,0.24256230433592071,0.9289926889231597,easy,0.9125,0.9125,0.2446298223847615,0.906746427570424
mmmlu,mmmlu/mmmlu-ar-xy-00005,mmmlu-ar-xy-00005,0.9875480031863881,0.9873254275139182,0.3916382219907827,0.8422529025143651,medium,0.5875,0.5875,0.3966657913155608,0.1560196767520617
ineqmath,ineqmath/79,79,0.9871694237122933,0.986868496970926,0.24047010713365852,0.8852463877307228,easy,0.925,0.925,0.243669858620224,0.0008223891776074
ineqmath,ineqmath/99,99,0.9864382498347095,0.9861202953988629,0.21632926184524048,0.8845829093192827,easy,0.925,0.925,0.219374109684803,0.0023308792242352
ineqmath,ineqmath/22,22,0.9859702663016513,0.9856414202458571,0.2428228398865452,0.8841582538705415,easy,0.909375,0.909375,0.2463602227937781,0.0803004769337412
ineqmath,ineqmath/3,3,0.9854833919857114,0.9851432203342427,0.2411330159745244,0.8837164566351448,easy,0.915625,0.915625,0.2447695025426983,0.0077299254969128
humanevalfix,humanevalfix/python-102,python-102,0.9848470450303917,0.9846135516363524,0.14769203274545287,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-42,python-42,0.9848470450303917,0.9846135516363523,0.14769203274545284,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-128,python-128,0.9848470450303917,0.9846135516363523,0.14769203274545284,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-151,python-151,0.9848470450303917,0.9846135516363524,0.14769203274545287,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-162,python-162,0.9848470450303917,0.9846135516363523,0.14769203274545284,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-0,python-0,0.9848470450303917,0.9846135516363524,0.14769203274545287,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-20,python-20,0.9848470450303917,0.9846135516363523,0.14769203274545284,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-133,python-133,0.9848470450303917,0.9846135516363523,0.14769203274545284,0.9225444741928658,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-107,python-107,0.9848470450303917,0.9846135516363524,0.14769203274545287,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
humanevalfix,humanevalfix/python-79,python-79,0.9848470450303917,0.9846135516363524,0.14769203274545287,0.9225444741928657,easy,0.95,0.95,0.15,0.8422000390401068
ineqmath,ineqmath/68,68,0.9839011727730209,0.9835242357709562,0.23979313120850518,0.8822807266098128,easy,0.909375,0.909375,0.2438100887473691,-0.0092137542808046
livecodebench,livecodebench/abc325_c,abc325_c,0.9833034185382189,0.9828311895773373,0.2680355626096032,0.7462313490563841,easy,0.875,0.875,0.2727178028658928,0.8797101178873596
humanevalfix,humanevalfix/python-136,python-136,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-48,python-48,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-41,python-41,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-23,python-23,0.9831291664264071,0.9828694322770446,0.23791480891908323,0.9209226306617495,easy,0.9375,0.9375,0.2420614591379635,0.8073626619239593
humanevalfix,humanevalfix/python-29,python-29,0.9831291664264071,0.9828694322770446,0.23791480891908323,0.9209226306617495,easy,0.9375,0.9375,0.2420614591379635,0.8073626619239593
humanevalfix,humanevalfix/python-16,python-16,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-40,python-40,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-95,python-95,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-148,python-148,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-53,python-53,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-94,python-94,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-54,python-54,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-51,python-51,0.9831291664264071,0.9828694322770446,0.23791480891908323,0.9209226306617495,easy,0.9375,0.9375,0.2420614591379635,0.8073626619239593
humanevalfix,humanevalfix/python-56,python-56,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-120,python-120,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-71,python-71,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
humanevalfix,humanevalfix/python-106,python-106,0.9831291664264071,0.9828694322770446,0.14274888535144994,0.9209226306617495,saturated,0.9625,0.9625,0.1452368754827781,0.8073626619239593
