benchmark,model_range,agent_effect_mean,agent_effect_max,model_vs_agent_ratio,best_model,worst_model
pixiu,0.49139200000000005,0.013176500000000022,0.02359600000000006,37.29305961370616,gemini-3.1-pro-preview,gpt-5-nano
swebench-verified,0.614,0.044250000000000005,0.14800000000000002,13.875706214689265,gemini-3.1-pro-preview,gpt-5-nano
kumo,0.40377299999999994,0.03992585714285711,0.09622599999999992,10.11307029815981,gemini-3.1-pro-preview,gpt-5-nano
quixbugs,0.604167,0.06080724999999997,0.17374999999999996,9.935772461343019,gemini-3-flash-preview,gpt-5-nano
aider-polyglot,0.652444,0.07763900000000001,0.23377800000000004,8.403560066461441,gemini-3.1-pro-preview,gpt-5-nano
compilebench,0.5599999999999999,0.07250012499999998,0.22666700000000004,7.724124613578253,gemini-3-flash-preview,gpt-5-nano
terminal-bench,0.58427,0.07744785714285714,0.257865,7.544043457810324,gemini-3.1-pro-preview,gpt-5-nano
dacode,0.35290299999999997,0.047583999999999994,0.12215599999999999,7.416421486213854,claude-opus-4-6,gpt-5-nano
swe-lancer,0.386,0.05399999999999998,0.134,7.1481481481481515,gemini-3.1-pro-preview,gpt-5-nano
spreadsheetbench,0.5539999999999999,0.08495837499999999,0.17800000000000002,6.520840352702132,claude-opus-4-6,gpt-5-nano
strongreject,0.231167,0.03579833333333332,0.13447200000000004,6.457479398482241,claude-haiku-4-5-20251001,gemini-3-flash-preview
algotune,0.330583,0.05222687499999999,0.15434799999999999,6.329748812273376,claude-opus-4-6,gpt-5-nano
bfcl,0.21138200000000007,0.03468816666666671,0.05203200000000008,6.093778377832973,gemini-3.1-pro-preview,gpt-5-nano
arc-agi-2,0.602,0.10337500000000002,0.514,5.823458282950422,gemini-3.1-pro-preview,gpt-5-nano
deepsynth,0.5246350000000001,0.09020924999999999,0.266836,5.815756144741256,gemini-3.1-pro-preview,gpt-5-nano
qcircuitbench,0.566697,0.109356625,0.159524,5.182100307137313,gemini-3.1-pro-preview,gpt-5-nano
bixbench,0.366,0.07075000000000001,0.136,5.173144876325088,gemini-3.1-pro-preview,gpt-5-nano
crustbench,0.6220000000000001,0.12159999999999997,0.198,5.115131578947371,gemini-3.1-pro-preview,gpt-5-nano
gso,0.440196,0.08737737500000001,0.21960800000000003,5.037871645835091,claude-sonnet-4-6,gpt-5-nano
livecodebench,0.44200000000000006,0.09143750000000002,0.418,4.833902939166097,gemini-3.1-pro-preview,claude-haiku-4-5-20251001
financeagent_terminal,0.764,0.1585,0.4,4.82018927444795,claude-sonnet-4-6,gpt-5-nano
gaia2,0.354882,0.07496074999999999,0.168367,4.734237584335802,claude-opus-4-6,gpt-5-mini
reasoning-gym,0.24909000000000003,0.05427459999999999,0.09606199999999998,4.589439627376343,gemini-3.1-pro-preview,gpt-5-nano
gpqa-diamond,0.4232330000000001,0.0923517142857143,0.22727200000000003,4.582838589120474,gemini-3.1-pro-preview,claude-haiku-4-5-20251001
sldbench,0.5338620000000001,0.11699687500000001,0.26383500000000004,4.563044953123748,gemini-3-flash-preview,gpt-5-nano
swtbench,0.516,0.11333333333333329,0.176,4.55294117647059,gemini-3-flash-preview,gpt-5-nano
medagentbench,0.5700000000000001,0.12625,0.28600000000000003,4.514851485148515,gemini-3.1-pro-preview,gpt-5-nano
hle,0.46506000000000003,0.104016,0.31325300000000006,4.471042916474389,gemini-3.1-pro-preview,gpt-5-nano
replicationbench,0.48666599999999993,0.11111137500000001,0.37333400000000005,4.3799835975389545,gemini-3.1-pro-preview,gpt-5-nano
aime,0.41361099999999995,0.09628474999999999,0.296944,4.295706225544544,gemini-3.1-pro-preview,claude-haiku-4-5-20251001
simpleqa,0.7819999999999999,0.20137500000000003,0.607,3.883302296710117,gemini-3.1-pro-preview,gpt-5-nano
swesmith,0.5579999999999999,0.14533333333333334,0.252,3.839449541284403,claude-opus-4-6,gpt-5.4
usaco,0.6440000000000001,0.16818750000000005,0.627,3.829059829059829,gemini-3.1-pro-preview,claude-haiku-4-5-20251001
featurebench-modal,0.449729,0.118243375,0.317838,3.8034181619054768,claude-opus-4-6,gpt-5-nano
widesearch,0.52828,0.14246562500000004,0.24923100000000004,3.7081225734277994,gemini-3.1-pro-preview,gpt-5-nano
bigcodebench,0.21517200000000003,0.059482500000000015,0.194483,3.6174000756525024,claude-opus-4-6,gpt-5-nano
omnimath,0.32599999999999996,0.10512499999999998,0.29799999999999993,3.1010701545778834,gemini-3.1-pro-preview,gpt-5.4
seal0,0.36937,0.12956075,0.299099,2.850940581927783,gemini-3.1-pro-preview,claude-haiku-4-5-20251001
codepde,0.36,0.14,0.24000000000000005,2.571428571428571,claude-opus-4-6,gemini-3.1-pro-preview
scicode,0.34188100000000005,0.1335407142857143,0.37603200000000003,2.560125590376397,gemini-3.1-pro-preview,gpt-5-nano
gaia,0.526061,0.26351519999999995,0.44,1.9963212748258927,gemini-3.1-pro-preview,gpt-5-nano
mmau,0.1459999999999999,0.08768749999999997,0.47200000000000003,1.665003563791874,claude-opus-4-6,gpt-5-nano
crmarena,0.26002000000000003,0.15641012499999998,0.411956,1.662424347528653,claude-haiku-4-5-20251001,gpt-5-nano
humanevalfix,0.08414600000000005,0.071341375,0.470732,1.1794838549158893,claude-sonnet-4-6,claude-haiku-4-5-20251001
ineqmath,0.15700000000000003,0.147125,0.764,1.0671197960917589,claude-sonnet-4-6,claude-haiku-4-5-20251001
labbench,0.288397,0.28366725000000004,0.46768000000000004,1.0166735849838147,gemini-3-flash-preview,claude-sonnet-4-6
mmmlu,0.332,0.589166875,0.770667,0.5635075800892575,gemini-3-flash-preview,claude-haiku-4-5-20251001
research-code-bench,0.006604,0.624056875,0.856604,0.010582368794510917,claude-haiku-4-5-20251001,gpt-5-mini
