benchmark,model,harbor_agent,delta_terminus2,delta_agent,agent_lift
hle,gpt-5.4,codex,-0.18856,0.15099999999999997,0.33956
terminalbench_2_0,gpt-5.4,codex,-0.38820252808988764,-0.13033752808988763,0.257865
gso,gpt-5.4,codex,-0.16222899999999998,0.05884900000000004,0.22107800000000002
simpleqa,gpt-5.4,codex,0.408,0.6219999999999999,0.2139999999999999
hle,gpt-5-mini,codex,-0.04909999999999998,0.11579999999999999,0.16489999999999996
gaia2,gemini-3.1-pro-preview,gemini-cli,-0.30165200000000003,-0.202177,0.09947500000000004
gaia2,claude-sonnet-4-6,claude-code,-0.189232,-0.131392,0.05784
algotune,gemini-3.1-pro-preview,gemini-cli,-0.16296655979554062,-0.11215655979554062,0.050809999999999994
gaia2,gpt-5.4,codex,-0.38391700000000006,-0.33564800000000006,0.048269000000000006
terminalbench_2_0,gemini-3-flash-preview,gemini-cli,-0.0044939325842696665,0.038202696629213495,0.04269662921348316
terminalbench_2_0,claude-opus-4-6,claude-code,-0.013483483146067399,0.026966719101123582,0.04045020224719098
terminalbench_2_0,claude-haiku-4-5-20251001,claude-code,0.02247193258426966,0.06179810112359552,0.039326168539325856
algotune,gpt-5.4,codex,-0.14123011987235215,-0.12590711987235215,0.015323000000000003
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.20199999999999996,0.21299999999999997,0.01100000000000001
terminalbench_2_0,gpt-5-mini,codex,0.012359561797752827,0.017977393258426955,0.0056178314606741275
simpleqa,claude-sonnet-4-6,claude-code,0.49100000000000005,0.49299999999999994,0.0019999999999998908
gaia2,claude-opus-4-6,claude-code,-0.21511799999999998,-0.21409399999999995,0.0010240000000000249
terminalbench_2_0,MiniMax-M2.5,claude-code,-0.01348291011235958,-0.01573029213483146,-0.0022473820224718777
bfcl,gpt-5-nano,codex,-0.08116299999999999,-0.09254499999999999,-0.011382000000000003
sldbench,gemini-3-flash-preview,gemini-cli,0.63185854145,0.6065075414500001,-0.0253509999999999
bfcl,claude-haiku-4-5-20251001,claude-code,-0.07128800000000002,-0.10380900000000004,-0.03252100000000002
bfcl,gpt-5-mini,codex,0.07654400000000006,0.04077200000000003,-0.035772000000000026
hle,gemini-3.1-pro-preview,gemini-cli,0.08356100000000005,0.04225899999999999,-0.04130200000000006
simpleqa,claude-opus-4-6,claude-code,0.42700000000000005,0.379,-0.04800000000000004
terminalbench_2_0,kimi-k2.5,claude-code,-0.0028094719101123267,-0.05674147191011236,-0.053932000000000035
terminalbench_2_0,gemini-3.1-pro-preview,gemini-cli,-0.11011219101123604,-0.17977519101123596,-0.06966299999999992
terminalbench_2_0,gpt-5-nano,codex,0.029213314606741578,-0.06292174157303371,-0.09213505617977528
