benchmark,model,agent,score,issues
algotune,gpt-5-nano,terminus-2,0.0,exact_zero
algotune,gpt-5-nano,codex,0.0,exact_zero
arc-agi-2,gpt-5-nano,terminus-2,0.0,exact_zero
arc-agi-2,gpt-5-nano,codex,0.0,exact_zero
gaia2,gpt-5-mini,terminus-2,0.0,exact_zero
gaia2,gpt-5-nano,terminus-2,0.0,exact_zero
gaia2,qwen3-max,terminus-2,0.0,exact_zero
gso,gpt-5-nano,terminus-2,0.0,exact_zero
mlgym,gpt-5.4,terminus-2,672.113412,above_1|extreme_magnitude
mlgym,gpt-5.4,codex,2649.826908,above_1|extreme_magnitude
mlgym,gpt-5-mini,terminus-2,-428.515412,negative|extreme_magnitude
mlgym,gpt-5-mini,codex,292.039314,above_1|extreme_magnitude
mlgym,gpt-5-nano,terminus-2,-1053.221505,negative|extreme_magnitude
mlgym,gpt-5-nano,codex,-4417.941766,negative|extreme_magnitude
mlgym,claude-haiku-4-5-20251001,terminus-2,448.614846,above_1|extreme_magnitude
mlgym,claude-haiku-4-5-20251001,claude-code,-1274672377834.0713,negative|extreme_magnitude
mlgym,claude-sonnet-4-6,terminus-2,788.946657,above_1|extreme_magnitude
mlgym,claude-sonnet-4-6,claude-code,-994.582707,negative|extreme_magnitude
mlgym,claude-opus-4-6,terminus-2,847.065065,above_1|extreme_magnitude
mlgym,claude-opus-4-6,claude-code,-521.663258,negative|extreme_magnitude
mlgym,gemini-3.1-pro-preview,terminus-2,705.547414,above_1|extreme_magnitude
mlgym,gemini-3.1-pro-preview,gemini-cli,926.829355,above_1|extreme_magnitude
mlgym,gemini-3-flash-preview,terminus-2,901.655182,above_1|extreme_magnitude
mlgym,gemini-3-flash-preview,gemini-cli,1132.829747,above_1|extreme_magnitude
mlgym,deepseek-reasoner,terminus-2,-1316.280353,negative|extreme_magnitude
mlgym,deepseek-chat,claude-code,837.744398,above_1|extreme_magnitude
mlgym,kimi-k2.5,claude-code,-5521.208502,negative|extreme_magnitude
mlgym,MiniMax-M2.5,terminus-2,733.765679,above_1|extreme_magnitude
mlgym,MiniMax-M2.5,claude-code,789.776361,above_1|extreme_magnitude
mlgym,glm-5,claude-code,-3520.137206,negative|extreme_magnitude
mlgym,mimo-v2-pro,terminus-2,706.886644,above_1|extreme_magnitude
mlgym,mimo-v2-pro,claude-code,207.463053,above_1|extreme_magnitude
mlgym,qwen3-max,terminus-2,-150679.002465,negative|extreme_magnitude
mlgym,qwen3-max,qwen-coder,463.154901,above_1|extreme_magnitude
mmmlu,claude-haiku-4-5-20251001,terminus-2,0.0,exact_zero
mmmlu,claude-sonnet-4-6,terminus-2,0.0,exact_zero
mmmlu,claude-opus-4-6,terminus-2,0.0,exact_zero
mmmlu,qwen3-max,terminus-2,0.0,exact_zero
research-code-bench,gpt-5-mini,terminus-2,0.0,exact_zero
research-code-bench,qwen3-max,terminus-2,0.0,exact_zero
swegym,gpt-5.4,terminus-2,0.0,exact_zero
swegym,gpt-5-mini,terminus-2,0.0,exact_zero
swegym,gpt-5-nano,terminus-2,0.0,exact_zero
swegym,gpt-5-nano,codex,0.0,exact_zero
swegym,claude-haiku-4-5-20251001,terminus-2,0.0,exact_zero
swegym,claude-haiku-4-5-20251001,claude-code,0.0,exact_zero
swegym,claude-sonnet-4-6,terminus-2,0.0,exact_zero
swegym,claude-sonnet-4-6,claude-code,0.0,exact_zero
swegym,claude-opus-4-6,terminus-2,0.0,exact_zero
swegym,claude-opus-4-6,claude-code,0.0,exact_zero
swegym,gemini-3.1-pro-preview,terminus-2,0.0,exact_zero
swegym,gemini-3.1-pro-preview,gemini-cli,0.0,exact_zero
swegym,gemini-3-flash-preview,terminus-2,0.0,exact_zero
swegym,gemini-3-flash-preview,gemini-cli,0.0,exact_zero
swegym,kimi-k2.5,terminus-2,0.0,exact_zero
swegym,MiniMax-M2.5,terminus-2,0.0,exact_zero
swegym,MiniMax-M2.5,claude-code,0.0,exact_zero
swegym,glm-5,terminus-2,0.0,exact_zero
swegym,mimo-v2-pro,terminus-2,0.0,exact_zero
usaco,deepseek-chat,claude-code,0.0,exact_zero
usaco,qwen3-max,qwen-coder,0.0,exact_zero
widesearch,gpt-5-mini,codex,0.0,exact_zero
