matrix_column,stem,benchmark_name,model,agent,score_harbor,score_doc,delta,doc_model_matched,doc_agent_matched,doc_metric_used,primary_metric_json,doc_slice_date,doc_source_url,match_status
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,terminus-2,0.545778,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,codex,0.779556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,terminus-2,0.365333,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,codex,0.534222,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,terminus-2,0.139556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,codex,0.094222,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,terminus-2,0.306889,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,claude-code,0.299556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,terminus-2,0.577778,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,claude-code,0.563556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,terminus-2,0.712889,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,claude-code,0.685333,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3.1-pro-preview,terminus-2,0.792,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match
