benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date
sldbench,gemini-3-flash-preview,terminus-2,0.777209,0.14535045855,0.63185854145,0.63185854145,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28
simpleqa,gpt-5.4,codex,0.949,0.327,0.6219999999999999,0.6219999999999999,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09
simpleqa,deepseek-chat,claude-code,0.91175,0.295,0.6167499999999999,0.6167499999999999,DeepSeek-V3,,matched_model_only_doc_no_agent,accuracy,2026-03-09
sldbench,gemini-3-flash-preview,gemini-cli,0.751858,0.14535045855,0.6065075414500001,0.6065075414500001,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28
simpleqa,deepseek-reasoner,terminus-2,0.825,0.319,0.506,0.506,DeepSeek-R1,,matched_model_only_doc_no_agent,accuracy,2026-03-09
simpleqa,claude-sonnet-4-6,claude-code,0.814,0.321,0.49299999999999994,0.49299999999999994,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09
swt_bench,gpt-5-mini,terminus-2,0.132,0.624,-0.492,0.492,GPT-5-mini,OpenHands (All Hands AI),matched_model_agent_mismatch,Success Rate (S) — Unit Test,2026-04
simpleqa,claude-sonnet-4-6,terminus-2,0.812,0.321,0.49100000000000005,0.49100000000000005,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09
simpleqa,claude-opus-4-6,terminus-2,0.91,0.483,0.42700000000000005,0.42700000000000005,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09
simpleqa,gpt-5.4,terminus-2,0.735,0.327,0.408,0.408,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09
terminalbench_2_0,gpt-5.4,terminus-2,0.429775,0.8179775280898877,-0.38820252808988764,0.38820252808988764,GPT-5.4,ForgeCode,matched_model_agent_mismatch,accuracy,2026-04-02
gaia2,gpt-5.4,terminus-2,0.172083,0.556,-0.38391700000000006,0.38391700000000006,GPT-5.4,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
simpleqa,claude-opus-4-6,claude-code,0.862,0.483,0.379,0.379,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09
qcircuitbench,deepseek-reasoner,terminus-2,0.383539,0.0126,0.370939,0.370939,DeepSeek-R1,,matched_model_only_doc_no_agent,Semantic Score (1-Shot),2025-12-16
seal0,kimi-k2.5,claude-code,0.236937,0.574,-0.33706299999999995,0.33706299999999995,Kimi K2.5,,matched_model_only_doc_no_agent,accuracy (LLM Stats score),2026-04-20
gaia2,gpt-5.4,codex,0.220352,0.556,-0.33564800000000006,0.33564800000000006,GPT-5.4,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
deepsynth,deepseek-chat,claude-code,0.343445,0.0211,0.322345,0.322345,DeepSeek-Chat,,matched_model_only_doc_no_agent,F1,2026-01-26
swt_bench,gpt-5-mini,codex,0.308,0.624,-0.316,0.316,GPT-5-mini,OpenHands (All Hands AI),matched_model_agent_mismatch,Success Rate (S) — Unit Test,2026-04
codepde,deepseek-reasoner,terminus-2,0.32,0.00483,0.31517,0.31517,DeepSeek-R1,"CodePDE (Reasoning + Debugging + Refinement, best-of-12)",matched_model_agent_mismatch,nRMSE (geom. mean),2025-05
gaia2,gemini-3.1-pro-preview,terminus-2,0.218348,0.52,-0.30165200000000003,0.30165200000000003,Gemini 3.1 Pro,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
bigcodebench,deepseek-chat,claude-code,0.37931,0.622,-0.24269000000000002,0.24269000000000002,DeepSeek-V3,,matched_model_only_doc_no_agent,calibrated_pass@1_complete,2026-04-22
gaia2,claude-opus-4-6,terminus-2,0.354882,0.57,-0.21511799999999998,0.21511799999999998,Claude Opus 4.6,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
gaia2,claude-opus-4-6,claude-code,0.355906,0.57,-0.21409399999999995,0.21409399999999995,Claude Opus 4.6,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.961,0.748,0.21299999999999997,0.21299999999999997,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09
widesearch,claude-haiku-4-5-20251001,terminus-2,0.328739,0.538,-0.20926100000000003,0.20926100000000003,claude-haiku-4-5-20251001,"agent=claude-code@2.1.98, Harbor adapter parity experiment, 3 runs x 200 tasks",matched_model_agent_mismatch,Mean Item F1 (original),2026-04
gaia2,gemini-3.1-pro-preview,gemini-cli,0.317823,0.52,-0.202177,0.202177,Gemini 3.1 Pro,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
simpleqa,gemini-3.1-pro-preview,terminus-2,0.95,0.748,0.20199999999999996,0.20199999999999996,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09
gaia2,claude-sonnet-4-6,terminus-2,0.329768,0.519,-0.189232,0.189232,Claude Sonnet 4.6,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
researchcodebench,deepseek-reasoner,terminus-2,0.031604,0.21,-0.178396,0.178396,DeepSeek-R1,"deepseek-reasoner (DeepSeek), cutoff 2024-10, $0.14/$2.19",matched_model_agent_mismatch,scaled pass@1,2025-06
aider_polyglot,deepseek-reasoner,terminus-2,0.536889,0.714,-0.17711100000000002,0.17711100000000002,DeepSeek R1 (0528),aider,matched_model_agent_mismatch,pass rate,2025-11-20
terminalbench_2_0,gemini-3.1-pro-preview,gemini-cli,0.626966,0.802247191011236,-0.17528119101123596,0.17528119101123596,Gemini 3.1 Pro,TongAgents,matched_model_agent_mismatch,accuracy,2026-04-02
algotune,gemini-3.1-pro-preview,terminus-2,0.250081,0.4128345597955406,-0.16275355979554063,0.16275355979554063,Gemini 3.1 Pro Preview (high),AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20
gso,gpt-5.4,terminus-2,0.153431,0.3137,-0.16026899999999997,0.16026899999999997,GPT-5.4 (xhigh),OpenHands,matched_model_agent_mismatch,Opt@1,2026-03-10
deepsynth,deepseek-reasoner,terminus-2,0.198071,0.0503,0.14777099999999999,0.14777099999999999,DeepSeek-Reasoner,,matched_model_only_doc_no_agent,F1,2026-01-26
hle,gpt-5.4,codex,0.508434,0.3624,0.14603400000000005,0.14603400000000005,gpt-5.4-2026-03-05 (xhigh thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20
algotune,gpt-5.4,terminus-2,0.23964,0.38087611987235215,-0.14123611987235216,0.14123611987235216,GPT-5.4 (high),AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20
crmarena,deepseek-reasoner,terminus-2,0.211888,0.351,-0.13911199999999999,0.13911199999999999,deepseek-r1,ReAct,matched_model_agent_mismatch,overall_mean,2024-11-04
gaia2,claude-sonnet-4-6,claude-code,0.387608,0.519,-0.131392,0.131392,Claude Sonnet 4.6,OpenClaw 2026.4.1,matched_model_agent_mismatch,"pass@1 (overall, 5-split)",2026-04-14
terminalbench_2_0,gpt-5.4,codex,0.68764,0.8179775280898877,-0.13033752808988763,0.13033752808988763,GPT-5.4,ForgeCode,matched_model_agent_mismatch,accuracy,2026-04-02
algotune,gpt-5.4,codex,0.254969,0.38087611987235215,-0.12590711987235215,0.12590711987235215,GPT-5.4 (high),AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20
sldbench,claude-haiku-4-5-20251001,terminus-2,0.638622,0.7597229750000001,-0.12110097500000006,0.12110097500000006,claude-haiku-4-5-20251001,SLDAgent,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28
terminalbench_2_0,gemini-3.1-pro-preview,terminus-2,0.692135,0.802247191011236,-0.11011219101123604,0.11011219101123604,Gemini 3.1 Pro,TongAgents,matched_model_agent_mismatch,accuracy,2026-04-02
bfcl,claude-haiku-4-5-20251001,claude-code,0.726829,0.830638,-0.10380900000000004,0.10380900000000004,Claude-Haiku-4-5-20251001,FC,matched_model_agent_mismatch,accuracy (overall),2026-04-12
