benchmark,domain,superdomain,earliest_date,latest_date,earliest_best,latest_best,absolute_progress,n_snapshots
spider_2,Data & Analytics,Modified Agentic,2024-11,2026-04,0.2377,0.967,0.7293,2
swt_bench,Software Engineering,Agentic,2024-06,2026-04,0.203,0.891,0.688,2
seal0,"Agents, Tools & Systems",Agentic,2025-06,2026-04,0.171,0.574,0.4029999999999999,2
gpqa_diamond,Knowledge & Long Context,Non-Agentic,2023-11,2026-04,0.581,0.9545,0.37350000000000005,2
hle,Knowledge & Long Context,Non-Agentic,2025-01,2026-04,0.094,0.4644,0.37039999999999995,2
multi_swe_bench,Software Engineering,Agentic,2025-03,2025-04,0.3908,0.7165,0.32570000000000005,2
devopsgym,Software Engineering,Agentic,2026-01,2026-04,0.5185,0.8182,0.2997000000000001,2
simpleqa,Knowledge & Long Context,Non-Agentic,2024-10,2026-03,0.47,0.748,0.278,4
aider_polyglot,Software Engineering,Modified Agentic,2024-12,2025-11,0.617,0.88,0.263,2
mmau,Multimodal,Non-Agentic,2024-10,2026-04,0.5855,0.8404,0.2549,2
browsecomp_plus,"Agents, Tools & Systems",Agentic,2025-08,2026-03,0.7169,0.9048,0.18790000000000007,7
swe_bench_live,Other,Uncategorized,2025-05,2025-11,0.1925,0.36,0.16749999999999998,4
gso,Software Engineering,Agentic,2025-05,2026-03,0.157,0.3137,0.15669999999999998,9
gaia2,"Agents, Tools & Systems",Agentic,2025-09,2026-04,0.796,0.948,0.1519999999999999,3
aime,Mathematics & Reasoning,Non-Agentic,2025-03,2026-04,0.85,0.9812,0.13119999999999998,2
featurebench,Software Engineering,Agentic,2026-01,2026-02,0.125,0.2,0.07500000000000001,2
algotune,Software Engineering,Modified Agentic,2025-07,2026-04,0.3516279254962272,0.4178735386225294,0.06624561312630223,2
gaia,"Agents, Tools & Systems",Agentic,2023-11,2026-03,0.939,0.9892,0.05020000000000002,8
bigcodebench,Software Engineering,Modified Agentic,2024-06,2026-04,0.611,0.624,0.013000000000000012,3
aa_lcr,Knowledge & Long Context,Non-Agentic,2025-08,2026-04,0.693,0.703,0.010000000000000009,5
cooperbench,Software Engineering,Agentic,2025-01,2026-04,0.48,0.486,0.006000000000000005,2
ineqmath,Mathematics & Reasoning,Non-Agentic,2024-02,2025-12,0.995,1.0,0.0050000000000000044,16
abcbench,Other,Uncategorized,2026-01,2026-01,0.632,0.632,0.0,1
omni_math,Mathematics & Reasoning,Non-Agentic,2026-04,2026-04,0.8223,0.8223,0.0,1
paperbench,Scientific Research,Agentic,2025-04,2025-04,0.85,0.85,0.0,1
skillsbench,"Agents, Tools & Systems",Agentic,2026-03,2026-03,0.487,0.487,0.0,1
da_code,Data & Analytics,Agentic,2024-10,2024-10,0.994,0.994,0.0,1
swe_bench_multilingual,Software Engineering,Agentic,2026-02,2026-02,0.727,0.727,0.0,1
webgenbench,Software Engineering,Modified Agentic,2025-05,2025-05,0.561,0.561,0.0,1
acebench,"Agents, Tools & Systems",Agentic,2025-07,2025-11,0.967,0.934,-0.03299999999999992,2
widesearch,"Agents, Tools & Systems",Agentic,2025-08,2026-04,0.622,0.539,-0.08299999999999996,2
finben,Other,Uncategorized,2024-09,2026-04,1.0,0.69,-0.31000000000000005,2
financeagent,Professional Domains,Agentic,2025-05,2026-04,0.9886,0.6437,-0.3449,2
